voto_brasil,voto_china,n,percentual
abstain,abstain,38,2.1566401816118046
abstain,no,27,1.532349602724177
abstain,yes,74,4.199772985244041
no,abstain,2,0.11350737797956867
no,no,8,0.4540295119182747
no,yes,9,0.5107832009080591
yes,abstain,172,9.761634506242906
yes,no,66,3.745743473325766
yes,yes,1366,77.5255391600454
