ano,frequencia,percentual
2005,97,12.967914438502675
2006,108,14.438502673796792
2007,93,12.433155080213904
2008,96,12.834224598930481
2009,83,11.096256684491978
2010,85,11.363636363636363
2011,96,12.834224598930481
2012,90,12.032085561497325
