ano,resolucoes,convergentes,proporcao_convergente
2005,97,80,0.8247422680412372
2006,108,88,0.8148148148148148
2007,93,78,0.8387096774193548
2008,96,73,0.7604166666666665
2009,83,72,0.8674698795180723
2010,85,74,0.8705882352941177
2011,96,83,0.8645833333333333
2012,90,71,0.788888888888889
