alvo,alvo_constante,mse,rmse
Sempre prever 0,0,0.8275401069518716,0.909692314440367
"Prever 0,5",0.5,0.25,0.5
Prever a média,0.8275401069518716,0.14271747833795648,0.3777796690373325
Sempre prever 1,1,0.1724598930481283,0.41528290724291594
