"ano","sessao","proporcao_iguais"
1990,45,0.1566265
1991,46,0.1029412
1992,47,0.08571429
1993,48,0.09677419
1994,49,0.1818182
1995,50,0.1410256
1996,51,0.1621622
1997,52,0.1690141
1998,53,0.1290323
1999,54,0.1029412
2000,55,0.1492537
2001,56,0.1029412
2002,57,0.09722222
2003,58,0.1066667
2004,59,0.07042254
2005,60,0.06849315
2006,61,0.08888889
2007,62,0.06410256
2008,63,0.08108108
2009,64,0.07352941
2010,65,0.1363636
2011,66,0.1617647
2012,67,0.119403
2013,68,0.125
2014,69,0.1298701
2015,70,0.1666667
2016,71,0.1428571
2017,72,0.1333333
2018,73,0.1182796
2019,74,0.1348315
