checagem,valor
n_observacoes,748
n_variaveis,10
n_resolucoes_convergentes,619
n_resolucoes_divergentes,129
ano_minimo,2005
ano_maximo,2012
n_ids_duplicados,0
n_missing_voto_importante,176
