ano,periodo_2009,n_pares_validos,n_convergentes,n_divergentes,taxa_convergencia,percentual_convergencia
1997,1997-2008,82,65,17,0.7926829268292683,79.26829268292683
1998,1997-2008,78,56,22,0.717948717948718,71.7948717948718
1999,1997-2008,89,64,25,0.7191011235955056,71.91011235955057
2000,1997-2008,76,57,19,0.75,75
2001,1997-2008,83,67,16,0.8072289156626506,80.72289156626506
2002,1997-2008,101,74,27,0.7326732673267327,73.26732673267327
2003,1997-2008,89,74,15,0.8314606741573034,83.14606741573034
2004,1997-2008,88,73,15,0.8295454545454546,82.95454545454545
2005,1997-2008,97,80,17,0.8247422680412371,82.4742268041237
2006,1997-2008,108,88,20,0.8148148148148148,81.48148148148148
2007,1997-2008,93,78,15,0.8387096774193549,83.87096774193549
2008,1997-2008,96,73,23,0.7604166666666666,76.04166666666666
2009,2009-2016,83,72,11,0.8674698795180723,86.74698795180723
2010,2009-2016,85,74,11,0.8705882352941177,87.05882352941177
2011,2009-2016,96,83,13,0.8645833333333334,86.45833333333334
2012,2009-2016,90,71,19,0.7888888888888889,78.88888888888889
2013,2009-2016,61,54,7,0.8852459016393442,88.52459016393442
2014,2009-2016,78,69,9,0.8846153846153846,88.46153846153845
2015,2009-2016,77,62,15,0.8051948051948052,80.51948051948052
2016,2009-2016,112,78,34,0.6964285714285714,69.64285714285714
