periodo_2009,n_pares_validos,n_convergentes,n_divergentes,taxa_convergencia,variancia_amostral,desvio_padrao_amostral,percentual_convergencia
1997-2008,1080,849,231,0.7861111111111111,0.16829626197096384,0.41023927404743177,78.61111111111111
2009-2016,682,563,119,0.8255131964809385,0.14425267310019338,0.37980609934569687,82.55131964809385
