pais_iso3,pais_iso2,pais_nome,grupo_unidade,donor_pool,ano,periodo_2009,pos_2009,n_votacoes,n_votos_pais,n_votos_china,n_pares_validos,n_convergentes_china,n_divergentes_china,taxa_convergencia_china,china_principal_destino_paper,donor_nunca_china_principal,abs_distance_china,gpi,abs_distance_usa,perc_trade_with_us,perc_trade_with_china,pci_cur,exachange_rate,distance_us,us_power_gap,hog_left,CA_GDP,latin_america,govdef_GDP,inst_parliamentary,inst_military_exec,us_trade_agreement
ALB,AL,Albania,Donor pool,1,1997,1997-2008,0,88,73,82,70,37,33,0.5285714285714286,0,1,2.357372,-0.1159224311767059,1.8586630000000002,-0.27937344327583463,-0.35992996725897497,-0.3558416230520358,-0.06026123000907139,-0.0163254759487076,0.4153220187958562,1,-0.555586831054343,FALSE,-0.652495884872635,1,0,0
ALB,AL,Albania,Donor pool,1,1998,1997-2008,0,84,72,78,68,36,32,0.5294117647058824,0,1,1.6150521,-0.11587560533026345,1.6238500000000002,-0.27361255559217307,-0.3598567267293705,-0.3528257019857309,-0.059255505790785916,-0.0163254759487076,0.43176405499799686,1,-0.041847399634042506,FALSE,-0.4433665743922211,1,0,0
ALB,AL,Albania,Donor pool,1,1999,1997-2008,0,94,71,89,66,31,35,0.4696969696969697,0,1,1.7112534,-0.11576918718723742,1.636523,-0.3212908724371107,-0.35992996725897497,-0.34620878169803976,-0.06691059255945203,-0.0163254759487076,0.40489064573855704,1,-0.16528777772290543,FALSE,-0.5986326801877053,1,0,0
ALB,AL,Albania,Donor pool,1,2000,1997-2008,0,77,44,76,43,15,28,0.3488372093023256,0,1,2.0868816,-0.11572482373517588,1.313236,-0.3505758661280818,-0.35983331409183006,-0.3431503726368642,-0.06335070834529262,-0.0163254759487076,0.3795824785756729,1,-0.14651826600570805,FALSE,-0.5059995007150728,1,0,0
ALB,AL,Albania,Donor pool,1,2001,1997-2008,0,85,54,83,53,23,30,0.4339622641509434,0,1,1.9600293,-0.11564419013381569,1.265806,-0.3605092896512351,-0.3598687793290481,-0.3382723460311755,-0.06348353984582135,-0.0163254759487076,0.29598291955371503,1,-0.20342275774726712,FALSE,-0.4250143151550039,1,0,0
ALB,AL,Albania,Donor pool,1,2002,1997-2008,0,105,94,101,91,40,51,0.43956043956043955,0,1,1.6693605999999999,-0.11564454098458006,1.582243,-0.36495372961338046,-0.3562361869379104,-0.33376381614279355,-0.06545328113810797,-0.0163254759487076,0.2843813710828332,1,-0.4105612359340005,FALSE,-0.4097795302064698,1,0,0
ALB,AL,Albania,Donor pool,1,2003,1997-2008,0,91,89,89,87,43,44,0.4942528735632184,0,1,2.2254742,-0.11561119429131107,1.630219,-0.3839820311260859,-0.3087607661385797,-0.3211611594281233,-0.07627178782191678,-0.0163254759487076,0.33977478514127746,1,-0.29573969883671636,FALSE,-0.06333318704120271,1,0,0
ALB,AL,Albania,Donor pool,1,2004,1997-2008,0,90,80,88,78,34,44,0.4358974358974359,0,1,2.06137,-0.11559296633999368,1.584797,-0.3539674332887536,-0.18925218766921093,-0.3053450900123684,-0.08755868918886031,-0.0163254759487076,0.33083656581245846,1,-0.17306913025025314,FALSE,-0.08953481224791364,1,0,0
ALB,AL,Albania,Donor pool,1,2005,1997-2008,0,99,82,97,80,30,50,0.375,0,1,2.2595504,-0.11563776540424647,1.35985,-0.2527933912585432,-0.1893572033601619,-0.2966816302663789,-0.089279710326917755,-0.0163254759487076,0.200400702569512,0,-0.28749503945289945,FALSE,-0.13227710595935382,1,0,0
ALB,AL,Albania,Donor pool,1,2006,1997-2008,0,111,110,108,107,61,46,0.5700934579439252,0,1,1.9227010999999998,-0.1155844331911891,1.7420180000000003,-0.3226369884780194,-0.08091504025261823,-0.28739402278917403,-0.09032474323933647,-0.0163254759487076,0.1875525137150277,0,-0.311529247058068,FALSE,-0.11542240994439293,1,0,0
